"id","sha1","rank","title","firstname","lastname","nation","wikidata","source"
154,"5ad183caba1c9e8d880e5c57257439cc859ff71e",12,,"","Cotelle",48,,1
155,"7812df80332464551245b4126b27cb22151ad1f9",7,,"","Courthier",48,,1
156,"e676379f59e368b5c6fc05fbf91a4bc589fb7813",7,,"","Crabbe",48,,1
157,"5563f190074c02e521ea35b013c6452eb05ca7f1",7,,"","Curnier",48,,1
158,"f234b34b40285193ca0707a4795a0adbb036bc70",9,,"L.C.","DALRYMPLE",47,,1
159,"6610509c7c2056cdab2a4e664dcc07955e9892ff",10,,"","DECKEN",49,,1
160,"91db7b057eda3d9e1bc698c466a73700e5e1fae6",13,,"","DELLEN",51,,1
161,"5484d9312646d7f58e7166ece7f18ba03951b745",7,,"H.G.","DETMERS",52,,1
162,"5d3658b8346c7c98041663e16c8b26eb5aae836c",9,,"N.","DOUGLAS",47,,1
163,"89e5e6eec7ba86976702faa66074ec61f28bee20",9,18,"W.","DOUGLAS",47,,1
164,"0162cec81dc2aff00b1778b543d299423f3c500d",10,,"P.","DRUMOND",47,,1
165,"f0518ef99ecda8c0a1952a99adac5a5d76ed0db7",9,19,"F.L.","DUVIVIER",52,,1
166,"65dd25de6e5c639122b4b7a966a0a14f5e7deba2",12,,"","Daigremont",48,,1
167,"7a4667da35cf31aaff958922e75960f543303e55",7,,"","Danlion",48,,1
168,"c5385659a7f80a7b7c8cd32158027b9c91e1843d",7,23,"","Darsonval",48,,1
169,"d3aa47610fee30f68fdbb9ede25ee10299530247",7,,"","Daulé",48,,1
170,"d8eacf6aaf5c8ae41ef47fcb3bb9d1c5ac12c64e",12,,"","Daux",48,,1
171,"fba2c70d561c84363d4783bd20cdfee83a605864",7,,"","Delahaye",48,,1
172,"4b704a0b0c7cc4fa377d26865dc84707d8bc38a7",8,19,"","Delcambre",48,,1
173,"fd9cef24b72eeb5a488da3585f8bf9a343a052a8",5,19,"","Delort",48,,1
174,"ff4e2bdd084b8cf507db2ce3adf1b05a7d8dafab",,,"","Demon-Frère",48,,1
175,"7a2033aefe1907c795bc56aaf45ea304b2aa0197",8,19,"","Dentzel",48,,1
176,"45ef3a2dcd3abc984e45741d3090b3fa9dfb6d64",12,,"","Deshaulles",48,,1
177,"ba5c30e5125c2041a9a6e0dbb01cff2ac0f3e86f",7,19,"","Desmichels",48,,1
178,"4f3ca02c4d93561bdb1ee71a04cd676bb3dba088",8,,"","Desprez",48,,1
179,"dab2100834dd33016b82fb4719449287618b9cea",5,19,"","Desvaux de St-Maurice",48,,1
180,"a6eedaf49474708970b58917fcb4ad4359944961",7,,"","Devienne",48,,1
181,"ba48f42ef000e952e8abef576350e704f1c09b8e",12,,"","Didier",48,,1
182,"c532587ce4cc04956a8c37a959aeeb6f4deb2148",8,19,"","Dommanget",48,,1
183,"36bc16821d9adc52067e437d5080bbc7b8f9967d",5,19,"","Domon",48,,1
184,"1a0f9e77f388eac34b34e83862714fc57b8a9c21",8,19,"","Donop",48,,1
185,"871b479117f141743901d3ddc7b9a637fe41372c",5,19,"","Donzelot",48,,1
186,"8295b76c0618784f9b0ed948386c6d68b85626b5",8,19,"","Doquereau",48,,1
187,"6c889e914bd16ad4385105a7bbf3b7d7f52ee58c",5,20,"J-B","Drouet d'Erlon",48,,1
188,"bf66a4cd591ce777a88e75642e8e5604335f2077",5,20,"A.","Drouot",48,,1
189,"147b908c60451621ddfaf68b50b82c1986e3ddbf",12,,"","Drulin",48,,1
190,"0de2567c8c38cf321998f8eb9171ee9fbbbe1011",7,,"","Druot",48,,1
191,"5a3fe375a388e8b206fbe0405badec0f9eb9dacf",7,,"","Dubalen",48,,1
192,"fff3041bbf2413d5d648ad0775601e5f548e91d9",8,,"","Dubois de Thinville",48,,1
193,"27a8b1e12d96e7b3a8a1513c76b0b3a2d6a09d56",7,,"","Dubuard-Maurin",48,,1
194,"a3c4341612ac59b0577ed35340c9b1c6d4356931",7,,"","Duchand",48,,1
195,"38aa921e9a1cd0288a850be4f156d864838983ad",8,19,"","Dufour",48,,1
196,"a3ea8d9b231dc7a5f53e18cab3ad4cac2440cdd8",5,20,"","Duhesme",48,,1
197,"fde396736972498881f4b167e7efd96d33a6ae6f",6,22,"Frederic-Guillaume ","Duke of Brunswick",50,,1
198,"857f2c3f10f4283a18fcb775657cf155f9d2bbc1",12,,"","Dumont",48,,1
199,"5e99a0702aec3664cdcb6a9a315d776598540d7c",8,,"","Dupeyroux",48,,1
200,"b58b7238b7a3b8b8d0ccad6793f84b8e630ced53",13,,"","Dupont",48,,1
201,"1386753c716dddc7d9a4da172dd87db4075b8bd4",7,,"","Dupré",48,,1
202,"62a0ba0288e2f59222668fa66c6b3322a9ae860a",8,19,"","Durrieu",48,,1
203,"3261bda4f3e8a4bce54db4af385fd695d45b6ba2",5,20,"","Durutte",48,,1
204,"8af78c816534adbc3e3feded7d31390b03d192e7",12,,"","Duvernay",48,,1
205,"34acda2456c18be990f24eb0aacd180be5c92717",7,,"","Duzaire",48,,1
206,"5861192de683d4c7ff0dea5af7cf06879ba0874e",12,,"","Dyonnet",48,,1
207,"925aab40aec3593e3539f60c29a766b8dae536f3",10,,"","EBELING",50,,1
208,"57e87dd14e77c8cadd8ff0f303c61e6b3f83738b",9,18,"H.W.","ELLIS",47,,1
209,"a8a67dbc26803d9751a9b687d6e13948a9dcff31",9,,"W.K.","ELPHINSTONE",47,,1
210,"7416619e6ff21646cae7c8206b6f2d76d37abdca",12,,"J-B","ESSAU",52,,1
211,"50f4a2835f93d5f67158ccfc1b2c1ea820df7244",12,,"","Emon",48,,1
